Doctor id,Doctor Name,Specialization,Disease-treated,City,Review_text,Cost
1,dr-hamayun-ikram,allergy-specialist,Allergy,multan,"Amazing treatment provided with the Canadian vaccines, great approach, perfect diagnosis. The experience with Dr. Hamayun was one of a kind, I definitely recommend to consult him., Amazing treatment provided with the Canadian vaccines, great approach, perfect diagnosis. The experience with Dr. Hamayun was one of a kind, I definitely recommend to consult him., He has great professional approach .. we feel comfortable while consulting him and our disease is also cured... Alhamdulilah, He has great professional approach .. we feel comfortable while consulting him and our disease is also cured... Alhamdulilah, I am so satisfied after meeting Dr Hamayun. He is so good and experienced in his work and field. His diagnosis is on the point and he starts treatment straight after diagnosis. I felt very satisfied and by the grace of Allah i have been cured. , I am so satisfied after meeting Dr Hamayun. He is so good and experienced in his work and field. His diagnosis is on the point and he starts treatment straight after diagnosis. I felt very satisfied and by the grace of Allah i have been cured. , A great doctor with a great approach, perfect diagnosis and the right treatment, the imported vaccines make the process more trustworthy. He makes sure everything is up to date, including the equipment. Overall, amazing experience., A great doctor with a great approach, perfect diagnosis and the right treatment, the imported vaccines make the process more trustworthy. He makes sure everything is up to date, including the equipment. Overall, amazing experience., Results of vaccine imported from Canada after testing with specified allergens are amazing.I know lot of other patients who cured 100 percent , Results of vaccine imported from Canada after testing with specified allergens are amazing.I know lot of other patients who cured 100 percent , Met this doctor through a reference. Great analyst and diagnosis. Very satisfied., Met this doctor through a reference. Great analyst and diagnosis. Very satisfied., Excellent and very capable doctor. Very satisfied., Excellent and very capable doctor. Very satisfied., V satisfied, V satisfied, Satisfied , Satisfied , I am really satisfied with his treatment. His methods are really up to date. They best thing is that he makes sure the patient is comfortable and relaxed. Highly recommend and really in budget. , I am really satisfied with his treatment. His methods are really up to date. They best thing is that he makes sure the patient is comfortable and relaxed. Highly recommend and really in budget. , 100% satisfied by the treatment of Dr. Hamayun. His methods are very healing., 100% satisfied by the treatment of Dr. Hamayun. His methods are very healing., it was a good experience., it was a good experience., his service is great .. really satisfied
, his service is great .. really satisfied
, I once consulted him. He is an experienced doctor and I was really satisfied with his services., I once consulted him. He is an experienced doctor and I was really satisfied with his services., im satisfied, im satisfied, kafi behtar mehsos kar raha hun medicine kay bad, kafi behtar mehsos kar raha hun medicine kay bad, Ma sha Allah. Dr. humayon sb gives me positive attitude.. Allah Almighty bless him.., Ma sha Allah. Dr. humayon sb gives me positive attitude.. Allah Almighty bless him.., It’s overall good , It’s overall good ",500
2,dr-m-osman-yusuf,allergy-specialist,Allergy,lahore,"Good Doctor, Good Doctor",500
3,dr-rafique-a-shaikh,allergy-specialist,Allergy,karachi,"Alhamdilillah...!! It was a blessed and a wonderful experience. He give me proper time for checkup. Doctor consultation is awesome. Recommended to all!!!!!!, Alhamdilillah...!! It was a blessed and a wonderful experience. He give me proper time for checkup. Doctor consultation is awesome. Recommended to all!!!!!!, soft spoken,answered all queries patiently. my issue also went down just after giving one potion of medicines. I am relaxed now, soft spoken,answered all queries patiently. my issue also went down just after giving one potion of medicines. I am relaxed now, Very Bad experince , He didn't join the call 2 time i was wating more then 1 hour ., Very Bad experince , He didn't join the call 2 time i was wating more then 1 hour ., Check up was little late but was fabolous, Check up was little late but was fabolous, It was quick and efficient. He was very kind, professional and friendly. Will return., It was quick and efficient. He was very kind, professional and friendly. Will return., It was good, It was good, He was very thorough with my history and explained the symptoms and related causes in detail. Great Experience, would highly recommend him., He was very thorough with my history and explained the symptoms and related causes in detail. Great Experience, would highly recommend him., He is really trusted and best Doctor. His treatment is really good. He diagnosed patient very well., He is really trusted and best Doctor. His treatment is really good. He diagnosed patient very well., Doctor was really nice and knowledgeable.He addressed all of my concerns and was very knowledgeable., Doctor was really nice and knowledgeable.He addressed all of my concerns and was very knowledgeable., Very friendly and efficient and I didn’t wait long. The staff is wonderful and very professional, Very friendly and efficient and I didn’t wait long. The staff is wonderful and very professional, very knowledgeable, and made me feel safe and comfortable., very knowledgeable, and made me feel safe and comfortable., he's great. the wait time was excessive., he's great. the wait time was excessive., I am extremely happy with the doctor's behaviour and the way he treats the patient., I am extremely happy with the doctor's behaviour and the way he treats the patient., Dr. Sahb is very nice and kind person. I am highly satisfied with doctors checkup., Dr. Sahb is very nice and kind person. I am highly satisfied with doctors checkup., Masallah bhut nice doctor hain aur patient k sath inka behave nice h aur bhut acha guide kia h mujy mary issue k against. Service bhe bhut achi h, Masallah bhut nice doctor hain aur patient k sath inka behave nice h aur bhut acha guide kia h mujy mary issue k against. Service bhe bhut achi h, Dr. Rafiq A. Sheikh was very professional and polite - would certainly recommend!, Dr. Rafiq A. Sheikh was very professional and polite - would certainly recommend!, Super friendly, attentive and made sure to answer my questions. Highly recommend!, Super friendly, attentive and made sure to answer my questions. Highly recommend!, Helpful and efficient staff. Good manner, and solution.I am surely going to see him again, Helpful and efficient staff. Good manner, and solution.I am surely going to see him again, Very warm and attentive. Intelligent and kind. Office is very efficient., Very warm and attentive. Intelligent and kind. Office is very efficient., Very experiencing doctor., Very experiencing doctor., Dr Rafiq seems well experienced and well mannered he was tolerent and cooperative with me throughout the checkup., Dr Rafiq seems well experienced and well mannered he was tolerent and cooperative with me throughout the checkup., He is familiar with what he talks about. Quick reflexes. Also he is attentive to concerns., He is familiar with what he talks about. Quick reflexes. Also he is attentive to concerns., visited hill park hospital to consult Dr. Rafiq A. Sheikh completely satisfied and happy with consultation, visited hill park hospital to consult Dr. Rafiq A. Sheikh completely satisfied and happy with consultation, It was a great experience with Dr Rafiq A Shaikh ... He is a ...thank you oladoc for his reference ..., It was a great experience with Dr Rafiq A Shaikh ... He is a ...thank you oladoc for his reference ..., He is so excellent, nice, knowledgeable and professiona., He is so excellent, nice, knowledgeable and professiona., Always fantastic! Super friendly and personable. Best doctor I have ever had. Highly recommend!, Always fantastic! Super friendly and personable. Best doctor I have ever had. Highly recommend!, Excellent experience with Dr. Rafiq A. Sheikh the staff is great., Excellent experience with Dr. Rafiq A. Sheikh the staff is great., Quick easy and to the point! Recommended, Quick easy and to the point! Recommended, Excellent doctor, makes me feel very comfortable and reassured. Friendly. Thorough. Empathetic. Knowledgeable. Highly recommended!, Excellent doctor, makes me feel very comfortable and reassured. Friendly. Thorough. Empathetic. Knowledgeable. Highly recommended!, I had a very positive experience with Rafiq Shiekh. I am satisfied to visit him at hilpark hospital, I had a very positive experience with Rafiq Shiekh. I am satisfied to visit him at hilpark hospital, Dr. Rafiq A. Sheikh was great - super knowledgeable and helpful. I got in right away. His staff was friendly as well., Dr. Rafiq A. Sheikh was great - super knowledgeable and helpful. I got in right away. His staff was friendly as well., it was great. He is efficient, informative and thorough., it was great. He is efficient, informative and thorough., His staff is kind & professional and he’s extremely patient. My experience with Dr. Rafiq A. Sheikh has exceeded my expectations. They explain procedures and are patient to answer questions. He’s my favorite doctor ever., His staff is kind & professional and he’s extremely patient. My experience with Dr. Rafiq A. Sheikh has exceeded my expectations. They explain procedures and are patient to answer questions. He’s my favorite doctor ever., Satisfied with checkup, Satisfied with checkup, Was attentive and very informative. Very good bedside manner. Would recommend., Was attentive and very informative. Very good bedside manner. Would recommend., Dr. Rafiq A. Sheikh makes me feel very comfortable and it's easy to talk to him. Definitely recommend!, Dr. Rafiq A. Sheikh makes me feel very comfortable and it's easy to talk to him. Definitely recommend!, He's an excellent doctor who explained me each and everything vigilantly. I feel much better Alhamdullilah after consulting him., He's an excellent doctor who explained me each and everything vigilantly. I feel much better Alhamdullilah after consulting him., Satisfied, Satisfied, Satisfied , Satisfied ",1500
4,dr-tanveer-anjum,allergy-specialist,Allergy,lahore,"=5
well experienced doctor, =5
well experienced doctor",500
5,dr-zawar-ali,allergy-specialist,Allergy,islamabad,"First experience but he listened everything I hope his medication works for my dad , First experience but he listened everything I hope his medication works for my dad , Very well informed and elaborative during diagnosis. Explained my allergies in detail to me and prescribed me some medicines and precautions to avoid allergic reactions in future. Hope to get healthy from his advice. , Very well informed and elaborative during diagnosis. Explained my allergies in detail to me and prescribed me some medicines and precautions to avoid allergic reactions in future. Hope to get healthy from his advice. , Highly competitive, responds with no time and very caring doctor. 
Highly satisfied 
, Highly competitive, responds with no time and very caring doctor. 
Highly satisfied 
, Amazing docter! 
He is very intelligent, responds with no time and even responds continiously. He is very compititively.I am higly satisfied. , Amazing docter! 
He is very intelligent, responds with no time and even responds continiously. He is very compititively.I am higly satisfied. , highly satisfied and highly recommended  , highly satisfied and highly recommended  , He is best doctor , i got severe allergy but he treated me very well 
I m fine now , He is best doctor , i got severe allergy but he treated me very well 
I m fine now , Good , Good , Prompt consultation from home., Prompt consultation from home., It was good experience , It was good experience , It was awesome meeting with Dr. Zawar Ali. Em totaly satisfied with his checkup and behavior. , It was awesome meeting with Dr. Zawar Ali. Em totaly satisfied with his checkup and behavior. , Dr Zawar Ali is a very good consultant, keep an extra vigilant eye on disease, patient,diagnosis and treatment. , Dr Zawar Ali is a very good consultant, keep an extra vigilant eye on disease, patient,diagnosis and treatment. , wonderful , wonderful , Never have I been treated with such attention and professionalism by a doc before. Dr listened to my problems patiently and explained my situation to me thoroughly., Never have I been treated with such attention and professionalism by a doc before. Dr listened to my problems patiently and explained my situation to me thoroughly., Excellent Doctor, clinically sound. I am very happy with the service, Excellent Doctor, clinically sound. I am very happy with the service, Excellent Doctor, clinically sound. I am very happy with the service, Excellent Doctor, clinically sound. I am very happy with the service, Had a great experience during my appointment; completely satisfied. Best doctor in twin cities. , Had a great experience during my appointment; completely satisfied. Best doctor in twin cities. , Experience was so good. Dr treated very friendly and discussed in details., Experience was so good. Dr treated very friendly and discussed in details., Doctor was great, Doctor was great, i m a lergy patient dr give me good sugeetion and medicin now wait and see what happend may allah give my patiest shifaa aamewn, i m a lergy patient dr give me good sugeetion and medicin now wait and see what happend may allah give my patiest shifaa aamewn, Satisfied , Satisfied ",500
6,dr-fazal-ur-rahman-panezai,cardiologist,"Hypertension, Heart attack",quetta,"doc Fazal is a nice doctor. he is very good at his work. , doc Fazal is a nice doctor. he is very good at his work. , Very supportive and good counselling, Very supportive and good counselling, Marham service is also a great service., Marham service is also a great service., Best , Best , Highly Satisfied , Highly Satisfied , Satisfied, Satisfied, EXCELLENT ,SATISFIED , EXCELLENT ,SATISFIED , Satisfied, Satisfied, Satisfied , Satisfied , Satisfied , Satisfied , Highly Satisfied., Highly Satisfied., Highly Satisfied, very professional., Highly Satisfied, very professional., Satisfied , Satisfied , Highly Satisfied., Highly Satisfied., Satisfied , Satisfied , Fully Satisfied., Fully Satisfied., fully satisfied , fully satisfied , fully satisfied , fully satisfied , Satisfied, Satisfied",500
7,dr-huma-naeem-tareen,cardiologist,"Hypertension, Heart attack",quetta,"She is very talented and diagnose very  
Well and accurate and prescribe the best medicines, One of the best and most talented cardiologist in quetta. Highly recommended, She is very talented and diagnose very  
Well and accurate and prescribe the best medicines, One of the best and most talented cardiologist in quetta. Highly recommended, Time Given By Doctor & Good Treatment, Time Given By Doctor & Good Treatment, I am 100% satisfied with dr human naeem tareen nice and careful, I am 100% satisfied with dr human naeem tareen nice and careful, A very talented, highly experienced and decent doctor. Gives you time and examines you with great patience . One of the best doctor that I have ever seen and met., A very talented, highly experienced and decent doctor. Gives you time and examines you with great patience . One of the best doctor that I have ever seen and met., AJ dr huma clinic Ayi gi k nai plzzz 

, AJ dr huma clinic Ayi gi k nai plzzz 

, I recommend Dr. Huma Naeem Tareen. , I recommend Dr. Huma Naeem Tareen. , The doctor was quite humble, listens carefully to the patient., The doctor was quite humble, listens carefully to the patient., Satisfied, Satisfied",2000
8,dr-jabar-ali,cardiologist,"Hypertension, Heart attack",peshawar,"competant in proedure, competant in proedure, 100% very compentant interventional cardiologist, 100% very compentant interventional cardiologist",500
9,dr-junaid-zaffar,cardiologist,"Hypertension, Heart attack",lahore,"One of the best cardiologist in Lahore. He listens your complaints very carefully and provide you the best solution. I visited him a month ago one of the junior doctor just put me in anxiety about my heart and he cleared all my things. , One of the best cardiologist in Lahore. He listens your complaints very carefully and provide you the best solution. I visited him a month ago one of the junior doctor just put me in anxiety about my heart and he cleared all my things. , i have been visiting for my father check up from Dr. Juniad since last 2 years he is very good doctor. listen carefully and treat patients in nice way.  , i have been visiting for my father check up from Dr. Juniad since last 2 years he is very good doctor. listen carefully and treat patients in nice way.  , Dr Javed Gardezi reffered us to Dr junaid zaffar. Mai ny apni walida ko deekhana  tha. He is a best doctor and  a wonderful human being. It seems like he was sent as an angel on earth for the patients. We pray for him in all our prayers. My mother is 100%, Dr Javed Gardezi reffered us to Dr junaid zaffar. Mai ny apni walida ko deekhana  tha. He is a best doctor and  a wonderful human being. It seems like he was sent as an angel on earth for the patients. We pray for him in all our prayers. My mother is 100%, Nice attitude , Nice attitude , He’s a really good doctor. 10/10 recommended. , He’s a really good doctor. 10/10 recommended. , It was an audio call with the Dr. He listened me patiently and then advised me on my issue.  It was good experience. I recommend him for others. , It was an audio call with the Dr. He listened me patiently and then advised me on my issue.  It was good experience. I recommend him for others. , Very much satisfied after the visit. Humble and quite skilled doctor. ????, Very much satisfied after the visit. Humble and quite skilled doctor. ????, Dr Junaid is well experienced and humble person., Dr Junaid is well experienced and humble person., Dr Javed Gardezi reffered us to Dr junaid zaffar. Mai ny apni walida ko deekhana  tha. He is a best doctor and  a wonderful human being. It seems like he was sent as an angel on earth for the patients. We pray for him in all our prayers. My mother is 100%, Dr Javed Gardezi reffered us to Dr junaid zaffar. Mai ny apni walida ko deekhana  tha. He is a best doctor and  a wonderful human being. It seems like he was sent as an angel on earth for the patients. We pray for him in all our prayers. My mother is 100%, Satisfied , Satisfied , Satisfied , Satisfied , Satisfied , Satisfied , Fully Satisfied., Fully Satisfied., Satisfied , Satisfied , Satisfied , Satisfied , Satisfied , Satisfied , fully satisfied  ,must Appreciated, fully satisfied  ,must Appreciated, Satisfied, Satisfied",1500
10,dr-kashif-shahzad,cardiologist,"Hypertension, Heart attack",bahawalpur,"Great experience 
Very nice doctor as well as human,
Highly recommended., Great experience 
Very nice doctor as well as human,
Highly recommended., GOOD SERVICE, GOOD SERVICE, Great experience ,nice doctor as well as human ,Highly recommend, Great experience ,nice doctor as well as human ,Highly recommend",500
